company_name,stock_symbol,market_value,total_shares,shares_outstanding,par_value,price_to_book,dividend_yield,enterprise_value,sector,industry
شركة طيبة للإستثمار,4090,10392.35,260.46,25.74,10.0,1.57,1.63,10390.0,Consumer Cyclical,
شركة مكة للإنشاء والتعمير,4100,17800.15,164.82,26.77,10.0,4.03,1.39,17400.0,Consumer Cyclical,
شركة الرياض للتعمير,4150,4888.95,177.78,13.8,10.0,1.99,2.73,-8900.0,Real Estate,
إعمار المدينة الإقتصادية,4220,9157.31,1133.33,4.63,10.0,1.75,0.0,16842.45,Real Estate,
شركة البحر الأحمر العالمية,4230,2079.82,30.23,0.85,10.0,24.11,0.0,2380.0,Real Estate,
شركة جبل عمر للتطوير,4250,24048.85,1180.02,10.89,10.0,1.91,0.0,35210.0,Consumer Cyclical,Lodging
شركة دار الأركان للتطوير العقاري,4300,18338.4,1080.0,19.19,10.0,0.88,0.0,23398.84,Real Estate,Real Estate - Development
مدينة المعرفة الإقتصادية,4310,4784.13,339.3,8.71,10.0,1.61,0.0,5270.0,Real Estate,Real Estate - Development
شركة الأندلس العقارية,4320,2286.59,93.33,11.07,10.0,2.21,2.04,3030.0,Real Estate,
شركة المراكز العربية,4321,9490.5,475.0,30.75,10.0,0.66,13.74,21930.0,Real Estate,
شركة رتال للتطوير العمراني,4322,7700.0,500.0,1.51,1.0,10.2,2.08,8212.4,Real Estate,Real Estate - Diversified
شركة بحر العرب لأنظمة المعلومات,7201,712.0,100.0,1.08,1.0,6.59,0.0,709.69,Technology,
شركة المعمر لأنظمة المعلومات,7200,5664.0,30.0,13.9,10.0,13.58,0.8,6403.64,Technology,Information Technology Services
الشركة العربية لخدمات الإنترنت والاتصالات,7202,30000.0,120.0,30.69,10.0,8.08,2.4,26640.0,Communication Services,
شركة علم,7203,90112.0,80.0,59.79,10.0,18.3,0.67,84370.0,Technology,Information Technology Services
شركة العرض المتقن للخدمات التجارية,7204,4230.0,300.0,1.68,1.0,9.0,0.0,4230.0,Technology,
شركة الماجد للعود,4165,3695.0,25.0,17.77,10.0,8.32,0.0,3870.0,Consumer Cyclical,
